Source,Target,Weight
14,0,20.933192346640457
93,0,32.322524219339904
12,0,48.40702996199019
30,0,24.37090250532431
111,0,32.35092522005943
55,0,20.501743858149062
107,0,28.074400427611117
18,0,62.167895042923824
95,1,37.14658992420456
21,2,23.19190040565183
50,2,50.56672861589973
62,2,24.80008942291756
22,2,26.61371372468893
70,2,28.01067925660409
48,2,24.39914442262329
51,2,32.94744601093195
20,3,21.31860679884144
14,3,21.30994959394633
23,3,24.98353120101788
25,3,32.198071014100535
44,4,39.77803622570551
5,4,33.661083176336234
46,4,50.984730766476574
4,5,33.661083176336234
99,6,31.03648178393663
99,7,38.87998222920348
8,7,26.032697164489267
43,8,29.840445766924983
78,8,31.62020230471286
60,8,31.510711170360768
22,8,22.210413043130057
85,8,20.42587841667116
97,8,24.153685861107466
48,8,39.37662666227728
33,8,24.43382880528071
64,8,47.56352702530362
50,8,30.34794743352026
13,8,20.11309966430225
7,8,26.032697164489267
42,8,23.082664020750425
63,9,48.583173464083416
62,9,29.097834547698525
56,9,28.16821301315872
86,10,50.79184563415286
38,10,59.82678558413366
82,11,22.175589109335288
0,12,48.40702996199019
92,12,21.6722646057341
93,12,59.67328948689907
18,12,80.4485421720991
13,12,47.38627215537402
50,12,28.723178220098205
30,12,48.1136690894626
61,12,22.82841216302881
14,12,23.76407299505805
111,12,28.15902333873328
55,12,31.58127774617085
107,12,40.95142172605998
103,12,23.711346281144564
12,13,47.38627215537402
14,13,21.585694763313093
18,13,26.748821548289044
8,13,20.11309966430225
93,13,25.67647418219353
107,13,28.356535431019815
30,13,31.18349509959109
0,14,20.933192346640457
18,14,22.14448701181891
13,14,21.585694763313093
12,14,23.76407299505805
3,14,21.30994959394633
56,15,38.88811575032741
88,15,24.71706557378606
35,15,27.09695712998492
50,16,22.40615464900445
22,16,24.71031260188158
19,17,80.89104614147385
74,17,22.320432253935472
29,17,28.403647769064776
46,17,26.04945930410044
55,18,25.22293164314289
92,18,25.613903617043626
12,18,80.4485421720991
13,18,26.748821548289044
30,18,30.728425581793207
103,18,25.185135956324604
0,18,62.167895042923824
93,18,45.91465123552504
112,18,24.673147548722167
14,18,22.14448701181891
111,18,38.95749217569616
101,18,25.000233473145794
107,18,29.299880033528957
105,18,27.71554342863794
75,19,30.144660032562147
17,19,80.89104614147385
46,19,23.201095658265963
74,19,24.301045666206715
3,20,21.31860679884144
62,21,22.596885929311604
50,21,26.729771309673534
53,21,31.658709317460826
70,21,37.40149646160739
2,21,23.19190040565183
110,21,25.13313076574851
2,22,26.61371372468893
62,22,27.010622489444646
69,22,20.85572142496804
50,22,66.67420569975171
41,22,126.57112712972764
48,22,75.53660009612221
42,22,87.13826986156899
16,22,24.71031260188158
97,22,31.56405510257182
54,22,25.340535324481124
110,22,31.264824668848835
8,22,22.210413043130057
85,22,40.96336126549837
70,22,51.447604909108925
3,23,24.98353120101788
25,23,24.554202817668248
49,23,23.602587607535277
74,24,49.90594295368325
34,24,42.33664313992495
72,24,22.48925264318247
3,25,32.198071014100535
37,25,28.375405907346195
23,25,24.554202817668248
49,25,26.52860759980952
110,26,24.9192961821526
59,27,25.314659453818305
79,28,29.349098676116647
60,28,20.22800685545149
17,29,28.403647769064776
0,30,24.37090250532431
111,30,24.228201856682706
12,30,48.1136690894626
93,30,32.62377908692168
55,30,54.00592956009751
107,30,32.81595165036012
13,30,31.18349509959109
18,30,30.728425581793207
104,31,45.26074988295236
32,31,54.50523562629742
104,32,49.61621727834464
31,32,54.50523562629742
78,33,31.924272588963444
80,33,21.543458417676824
8,33,24.43382880528071
64,33,58.829076622959285
60,33,48.76806081178149
74,34,25.251371861419308
24,34,42.33664313992495
49,35,23.075440145975143
36,35,56.20246391729147
15,35,27.09695712998492
56,35,27.70879277472438
35,36,56.20246391729147
25,37,28.375405907346195
86,38,21.62593446217338
10,38,59.82678558413366
86,39,22.757440009799737
52,40,39.4069459855106
46,40,32.52356510452292
90,40,30.232903706376277
59,40,34.100052024791246
82,40,21.646667877763228
108,40,21.210956925188103
91,40,64.10989821309226
47,40,39.90817378554484
89,40,103.26828446355265
62,41,21.35568889023083
48,41,59.75548884052987
70,41,45.66104087971069
22,41,126.57112712972764
85,41,23.639529235488705
50,41,44.23362023021944
70,42,32.350506919162136
110,42,22.2164407540198
48,42,47.00636375705097
8,42,23.082664020750425
54,42,20.92318766828214
98,42,22.16103641345508
50,42,47.49277338891457
22,42,87.13826986156899
97,42,26.230983374393585
85,42,32.070376656092115
8,43,29.840445766924983
4,44,39.77803622570551
94,44,87.21964246099864
67,44,30.341581071883272
65,44,78.75928046651394
45,44,57.15857405623158
113,44,46.36509077387072
94,45,36.02337467321895
113,45,34.71286507120063
44,45,57.15857405623158
65,45,47.97788760375011
89,46,43.954259225314345
19,46,23.201095658265963
52,46,21.619803035260286
47,46,25.11618282046237
4,46,50.984730766476574
40,46,32.52356510452292
17,46,26.04945930410044
91,46,25.041214810765112
89,47,39.812105148516856
40,47,39.90817378554484
91,47,27.964591852574834
46,47,25.11618282046237
50,48,57.84183152642191
97,48,20.23882304372428
64,48,42.73172932305638
62,48,22.91619071652686
8,48,39.37662666227728
70,48,47.3281575555596
2,48,24.39914442262329
78,48,33.56735910485145
22,48,75.53660009612221
41,48,59.75548884052987
85,48,23.782469883653217
42,48,47.00636375705097
35,49,23.075440145975143
23,49,23.602587607535277
59,49,33.47708077913068
25,49,26.52860759980952
51,50,20.62957734085586
41,50,44.23362023021944
110,50,28.87017059988903
85,50,24.68172813218768
12,50,28.723178220098205
70,50,46.619090898232265
22,50,66.67420569975171
42,50,47.49277338891457
2,50,50.56672861589973
97,50,36.79192549817867
62,50,35.71297781108102
8,50,30.34794743352026
98,50,21.153243249312748
48,50,57.84183152642191
21,50,26.729771309673534
16,50,22.40615464900445
82,51,25.049498396111403
50,51,20.62957734085586
114,51,42.721668458812765
2,51,32.94744601093195
40,52,39.4069459855106
46,52,21.619803035260286
91,52,24.06449025192885
89,52,30.61333985121873
106,53,28.79989665496036
70,53,45.88473321024233
62,53,20.23026605428928
21,53,31.658709317460826
85,54,60.5459411279876
22,54,25.340535324481124
42,54,20.92318766828214
107,55,34.58709265871981
93,55,20.444792111689296
18,55,25.22293164314289
12,55,31.58127774617085
30,55,54.00592956009751
0,55,20.501743858149062
111,55,26.468391555977576
15,56,38.88811575032741
35,56,27.70879277472438
102,56,25.357412874239948
67,56,23.41281493970028
100,56,29.894342585346926
88,56,21.131792917374074
63,56,21.080478447912995
109,56,29.945400773839896
74,56,21.17036044400364
9,56,28.16821301315872
74,57,30.27077436735024
76,57,23.21869703965049
76,58,20.021932698311588
91,59,24.933802259856545
49,59,33.47708077913068
27,59,25.314659453818305
89,59,39.53022984092444
40,59,34.100052024791246
33,60,48.76806081178149
64,60,58.65780661217398
78,60,22.3209731892725
72,60,22.85555700027764
62,60,26.36926476163211
79,60,33.554731128787694
28,60,20.22800685545149
8,60,31.510711170360768
12,61,22.82841216302881
22,62,27.010622489444646
50,62,35.71297781108102
60,62,26.36926476163211
53,62,20.23026605428928
70,62,65.07025912410015
72,62,25.909942488756776
48,62,22.91619071652686
41,62,21.35568889023083
2,62,24.80008942291756
9,62,29.097834547698525
21,62,22.596885929311604
56,63,21.080478447912995
79,63,27.473141406934243
9,63,48.583173464083416
48,64,42.73172932305638
78,64,55.19274755197871
33,64,58.829076622959285
8,64,47.56352702530362
60,64,58.65780661217398
77,64,22.16325031188543
80,64,23.40192325369395
113,65,43.41882511710604
45,65,47.97788760375011
94,65,79.08853577916759
44,65,78.75928046651394
67,65,24.763189829170084
92,66,21.82760476470736
71,66,45.06151433906438
109,67,20.860246776482484
65,67,24.763189829170084
44,67,30.341581071883272
56,67,23.41281493970028
81,68,21.364077886249937
22,69,20.85572142496804
22,70,51.447604909108925
53,70,45.88473321024233
110,70,41.03704549651282
50,70,46.619090898232265
48,70,47.3281575555596
2,70,28.01067925660409
41,70,45.66104087971069
62,70,65.07025912410015
42,70,32.350506919162136
21,70,37.40149646160739
66,71,45.06151433906438
92,71,22.717442387504864
62,72,25.909942488756776
79,72,26.28018174137368
84,72,25.69011032907274
60,72,22.85555700027764
24,72,22.48925264318247
83,72,21.79517505760149
109,73,20.24069060325144
34,74,25.251371861419308
19,74,24.301045666206715
57,74,30.27077436735024
24,74,49.90594295368325
17,74,22.320432253935472
76,74,28.53574785327096
56,74,21.17036044400364
19,75,30.144660032562147
74,76,28.53574785327096
58,76,20.021932698311588
57,76,23.21869703965049
78,77,61.53102297253567
80,77,25.480581476491025
64,77,22.16325031188543
64,78,55.19274755197871
85,78,24.9979588147436
77,78,61.53102297253567
80,78,65.12985505970208
8,78,31.62020230471286
60,78,22.3209731892725
33,78,31.924272588963444
48,78,33.56735910485145
60,79,33.554731128787694
63,79,27.473141406934243
28,79,29.349098676116647
72,79,26.28018174137368
78,80,65.12985505970208
64,80,23.40192325369395
77,80,25.480581476491025
33,80,21.543458417676824
68,81,21.364077886249937
89,82,26.11759862631264
108,82,33.69066907565828
11,82,22.175589109335288
40,82,21.646667877763228
51,82,25.049498396111403
72,83,21.79517505760149
84,83,95.36131071220332
72,84,25.69011032907274
83,84,95.36131071220332
50,85,24.68172813218768
48,85,23.782469883653217
78,85,24.9979588147436
41,85,23.639529235488705
42,85,32.070376656092115
54,85,60.5459411279876
8,85,20.42587841667116
22,85,40.96336126549837
97,85,20.18548801090922
38,86,21.62593446217338
39,86,22.757440009799737
10,86,50.79184563415286
96,87,33.685943095200074
15,88,24.71706557378606
56,88,21.131792917374074
108,89,20.16560629687762
91,89,63.33021731315284
82,89,26.11759862631264
90,89,57.04039265671136
59,89,39.53022984092444
47,89,39.812105148516856
40,89,103.26828446355265
52,89,30.61333985121873
46,89,43.954259225314345
89,90,57.04039265671136
40,90,30.232903706376277
91,90,60.61682620955685
59,91,24.933802259856545
47,91,27.964591852574834
89,91,63.33021731315284
52,91,24.06449025192885
90,91,60.61682620955685
40,91,64.10989821309226
46,91,25.041214810765112
71,92,22.717442387504864
93,92,24.35477291784809
18,92,25.613903617043626
66,92,21.82760476470736
12,92,21.6722646057341
13,93,25.67647418219353
107,93,26.29146633095843
103,93,21.788893442838376
0,93,32.322524219339904
30,93,32.62377908692168
12,93,59.67328948689907
55,93,20.444792111689296
92,93,24.35477291784809
18,93,45.91465123552504
113,94,48.62033486702057
45,94,36.02337467321895
65,94,79.08853577916759
44,94,87.21964246099864
1,95,37.14658992420456
87,96,33.685943095200074
8,97,24.153685861107466
42,97,26.230983374393585
85,97,20.18548801090922
50,97,36.79192549817867
48,97,20.23882304372428
22,97,31.56405510257182
50,98,21.153243249312748
42,98,22.16103641345508
7,99,38.87998222920348
6,99,31.03648178393663
56,100,29.894342585346926
18,101,25.000233473145794
56,102,25.357412874239948
12,103,23.711346281144564
93,103,21.788893442838376
18,103,25.185135956324604
32,104,49.61621727834464
31,104,45.26074988295236
18,105,27.71554342863794
53,106,28.79989665496036
0,107,28.074400427611117
30,107,32.81595165036012
18,107,29.299880033528957
93,107,26.29146633095843
111,107,53.17990345536856
55,107,34.58709265871981
12,107,40.95142172605998
13,107,28.356535431019815
82,108,33.69066907565828
40,108,21.210956925188103
89,108,20.16560629687762
73,109,20.24069060325144
56,109,29.945400773839896
67,109,20.860246776482484
70,110,41.03704549651282
42,110,22.2164407540198
22,110,31.264824668848835
21,110,25.13313076574851
26,110,24.9192961821526
50,110,28.87017059988903
55,111,26.468391555977576
107,111,53.17990345536856
30,111,24.228201856682706
18,111,38.95749217569616
12,111,28.15902333873328
0,111,32.35092522005943
18,112,24.673147548722167
65,113,43.41882511710604
94,113,48.62033486702057
45,113,34.71286507120063
44,113,46.36509077387072
51,114,42.721668458812765
